Name,State,Category,Policy_Incentive_Type,Created,Last_Updated
Charge Up New Jersey Program,NJ,Financial Incentive,Rebate Program,6/10/2021,6/1/2023
Electric Vehicle Tax Exemption,NJ,Financial Incentive,Personal Tax Exemption,6/10/2021,11/20/2024
Green Pass Discount,NJ,Financial Incentive,Other Incentive,6/10/2021,8/12/2021
New Jersey Zero Emission Incentive Program,NJ,Financial Incentive,Rebate Program,6/10/2021,6/9/2023
Successor Solar Incentive (SuSI) Program - Administratively Determined Incentive,NJ,Financial Incentive,Performance-Based Incentive,10/1/2021,12/15/2023
Community Solar Energy Pilot Program,NJ,Regulatory Policy,Community Solar Rules,6/3/2022,2/23/2023
New Jersey Community Solar Rules - Remote Net Metering,NJ,Regulatory Policy,Community Solar Rules,6/22/2022,6/28/2022
Successor Solar Incentive (SuSI) Program - Competitive Solar Incentive,NJ,Financial Incentive,Performance-Based Incentive,12/13/2022,12/13/2022
EV Tourism Program,NJ,Financial Incentive,Grant Program,6/1/2023,6/1/2023
PSE&G Electric Vehicle Charging Program,NJ,Financial Incentive,Rebate Program,6/2/2023,2/20/2025
JCP&L - EV Driven Program,NJ,Financial Incentive,Rebate Program,6/23/2023,6/12/2025
C-PACE: Garden State Commercial Property Assessed Clean Energy,NJ,Financial Incentive,PACE Financing,12/21/2023,12/21/2023
Offshore Wind Energy Goal,NJ,Regulatory Policy,Offshore Wind Energy Target,5/17/2024,5/29/2024
Net Metering,NM,Regulatory Policy,Net Metering,1/1/2000,5/20/2025
New Mexico Solar Easements & Rights Laws,NM,Regulatory Policy,Solar/Wind Access Policy,1/1/2000,10/23/2023
Biomass Equipment & Materials Compensating Tax Deduction,NM,Financial Incentive,Sales Tax Incentive,4/29/2005,12/5/2023
Clean Energy Revenue Bond Program,NM,Financial Incentive,Bond Program,4/29/2005,5/21/2025
Renewable Portfolio Standard,NM,Regulatory Policy,Renewables Portfolio Standard,12/19/2002,6/30/2025
Mandatory Utility Green Power Option,NM,Regulatory Policy,Mandatory Utility Green Power Option,1/16/2003,6/3/2025
Efficient Use of Energy Act,NM,Regulatory Policy,Public Benefits Fund,4/24/2006,6/3/2025
Building Energy Code,NM,Regulatory Policy,Building Energy Code,7/31/2006,6/18/2023
Solar Energy Gross Receipts Tax Deduction,NM,Financial Incentive,Sales Tax Incentive,5/25/2007,12/5/2023
Alternative Energy Product Manufacturers Tax Credit,NM,Financial Incentive,Industry Recruitment/Support,5/25/2007,6/3/2025
Central New Mexico Electric Cooperative - Residential Energy Efficiency Rebate Program,NM,Financial Incentive,Rebate Program,6/6/2007,3/12/2025
PNM - Residential Energy Efficiency Rebate Program,NM,Financial Incentive,Rebate Program,7/3/2008,7/14/2025
Interconnection Standards,NM,Regulatory Policy,Interconnection,8/15/2008,6/6/2024
Farmington Electric Utility System - Net Metering,NM,Regulatory Policy,Net Metering,8/22/2008,5/20/2025
Local Option - Renewable Energy Financing District/Solar Energy Improvement Special Assessments,NM,Financial Incentive,PACE Financing,7/15/2009,1/16/2024
PNM - Commercial Energy Efficiency Rebate Program,NM,Financial Incentive,Rebate Program,8/11/2009,4/14/2023
El Paso Electric Company - Commercial Efficiency Program,NM,Financial Incentive,Rebate Program,12/15/2009,8/20/2024
El Paso Electric Company - Residential Efficiency Program,NM,Financial Incentive,Rebate Program,12/15/2009,3/12/2025
Gross Receipts Tax Exemption for Sales of Wind and Solar Systems to Government Entities,NM,Financial Incentive,Sales Tax Incentive,2/16/2010,8/26/2024
Property Tax Exemption for Residential Solar Systems,NM,Financial Incentive,Property Tax Incentive,3/24/2010,3/24/2023
Xcel Energy - Residential Energy Efficiency Rebate Program,NM,Financial Incentive,Rebate Program,4/8/2010,6/25/2025
Energy Efficiency Resource Standard,NM,Regulatory Policy,Energy Efficiency Resource Standard,12/13/2010,6/30/2025
Agricultural Biomass Income Tax Credit (Corporate),NM,Financial Incentive,Corporate Tax Credit,12/14/2010,5/20/2025
Agricultural Biomass Income Tax Credit (Personal),NM,Financial Incentive,Personal Tax Credit,12/14/2010,5/20/2025
New Mexico Gas Company - Residential Efficiency Programs,NM,Financial Incentive,Rebate Program,2/9/2011,7/10/2025
New Mexico Gas Company - Commercial Efficiency Programs,NM,Financial Incentive,Rebate Program,2/9/2011,7/10/2025
Drinking Water State Revolving Loan Fund,NM,Financial Incentive,Loan Program,4/24/2012,8/27/2024
Xcel Energy (Electric) - Commercial Energy Efficiency Rebate Program,NM,Financial Incentive,Rebate Program,7/5/2012,8/20/2024
Solar/Wind Construction Permitting Standards,NM,Regulatory Policy,Solar/Wind Permitting Standards,9/16/2014,8/16/2023
City of Albuquerque - Solar Easements and Rights Laws,NM,Regulatory Policy,Solar/Wind Access Policy,11/13/2014,10/22/2023
Albuquerque City - Green Path Program,NM,Regulatory Policy,Building Energy Code,10/28/2016,7/24/2024
El Paso Electric Company - Low-Income Residential Program,NM,Financial Incentive,Rebate Program,7/19/2017,6/20/2023
New Mexico Gas Company - New Home Construction Rebate Program,NM,Financial Incentive,Rebate Program,2/27/2021,11/1/2024
Alternative Fuel Vehicle Loan Program,NM,Financial Incentive,Loan Program,6/10/2021,5/21/2025
PNM EV Charger Rebate Program,NM,Financial Incentive,Rebate Program,8/23/2021,11/15/2024
2021 Sustainable Building Tax Credit (Corporate),NM,Financial Incentive,Corporate Tax Credit,12/8/2021,5/20/2025
2021 Sustainable Building Tax Credit (Personal),NM,Financial Incentive,Personal Tax Credit,12/8/2021,5/20/2025
Community Solar Program,NM,Regulatory Policy,Community Solar Rules,12/9/2021,5/19/2025
New Solar Market Development Tax Credit,NM,Financial Incentive,Personal Tax Credit,8/16/2022,5/20/2025
New Mexico - Home Electrification and Appliance Rebate (HEAR) Program,NM,Financial Incentive,Rebate Program,12/12/2024,5/20/2025
Renewable Energy Systems Property Tax Exemption,NV,Financial Incentive,Property Tax Incentive,1/1/2000,3/21/2025
Large Scale Renewable Energy Property Tax Abatement (Nevada State Office of Energy),NV,Financial Incentive,Property Tax Incentive,1/1/2000,3/21/2025
Nevada Solar and Wind Easement Laws,NV,Regulatory Policy,Solar/Wind Access Policy,1/1/2000,11/3/2023
Net Metering,NV,Regulatory Policy,Net Metering,1/1/2000,5/20/2025
Energy Portfolio Standard,NV,Regulatory Policy,Renewables Portfolio Standard,1/1/2000,11/26/2024
Solar Contractor Licensing,NV,Regulatory Policy,Solar/Wind Contractor Licensing,1/1/2000,12/18/2024
Fuel Mix and Emissions Disclosure,NV,Regulatory Policy,Generation Disclosure,1/1/2000,8/10/2023
Interconnection Standards,NV,Regulatory Policy,Interconnection,7/1/2003,6/4/2024
Portfolio Energy Credits,NV,Financial Incentive,Performance-Based Incentive,10/29/2003,11/26/2024
Nevada Energy Code for Buildings,NV,Regulatory Policy,Building Energy Code,7/27/2006,5/23/2023
Nevada State Energy Reduction Plan,NV,Regulatory Policy,Energy Standards for Public Buildings,7/29/2006,6/4/2024
NV Energy (Southern Nevada) - Business Energy Efficiency Rebate Program,NV,Financial Incentive,Rebate Program,6/7/2007,3/18/2025
Luminous Efficacy Standards for General Purpose Lights,NV,Regulatory Policy,Appliance/Equipment Efficiency Standards,12/14/2007,11/19/2024
NV Energy (Northern Nevada) - Residential Energy Efficiency Rebate Program,NV,Financial Incentive,Rebate Program,11/17/2008,5/6/2024
Renewable Energy Sales and Use Tax Abatement,NV,Financial Incentive,Sales Tax Incentive,1/27/2009,3/21/2025
Valley Electric Association - Net Billing,NV,Regulatory Policy,Net Metering,4/24/2009,3/24/2025
Local Option - Special Improvement Districts,NV,Financial Incentive,PACE Financing,7/31/2009,1/16/2024
Southwest Gas Corporation - Commercial Energy Efficient Equipment Rebate Program,NV,Financial Incentive,Rebate Program,1/6/2010,5/6/2024
Southwest Gas Corporation - Residential Energy Efficiency Rebate Program,NV,Financial Incentive,Rebate Program,2/3/2010,3/14/2025
NV Energy -Energy Smart Schools Program,NV,Financial Incentive,Rebate Program,6/7/2007,3/18/2025
NV Energy - Solar Thermal Heating Program,NV,Financial Incentive,Rebate Program,2/1/2011,3/14/2025
NV Energy (Northern Nevada) - Business Energy Efficiency Rebate Program,NV,Financial Incentive,Rebate Program,6/7/2007,3/17/2025
Energy Storage Procurement Target,NV,Regulatory Policy,Energy Storage Target,3/30/2020,11/26/2024
Nevada - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,NV,Financial Incentive,Grant Program,6/11/2024,6/11/2024
Residential Solar Tax Credit,NY,Financial Incentive,Personal Tax Credit,1/1/2000,4/1/2025
Local Option - Solar Wind & Biomass Energy Systems Exemption,NY,Financial Incentive,Property Tax Incentive,11/26/2001,10/28/2024
New York Solar Easements & Solar Rights Laws,NY,Regulatory Policy,Solar/Wind Access Policy,1/1/2000,12/19/2023
Net Metering,NY,Regulatory Policy,Net Metering,1/1/2000,3/4/2025
Environmental Disclosure Program,NY,Regulatory Policy,Generation Disclosure,12/3/2001,8/10/2023
System Benefits Charge,NY,Regulatory Policy,Public Benefits Fund,1/1/2000,7/26/2021
NY-Sun PV Incentive Program (Residential Low-Income and Small Business),NY,Financial Incentive,Rebate Program,11/18/2002,7/2/2025
Interconnection Standards,NY,Regulatory Policy,Interconnection,6/18/2003,6/7/2024
Solar Sales Tax Exemption,NY,Financial Incentive,Sales Tax Incentive,8/10/2005,1/6/2025
New York Appliance and Equipment Energy Efficiency Standards,NY,Regulatory Policy,Appliance/Equipment Efficiency Standards,6/2/2006,10/31/2024
Energy Conservation Improvements Property Tax Exemption,NY,Financial Incentive,Property Tax Incentive,6/12/2006,10/28/2024
Building Energy Code,NY,Regulatory Policy,Building Energy Code,7/27/2006,6/18/2023
PSEG Long Island - Residential Energy Efficiency Rebate Program,NY,Financial Incentive,Rebate Program,8/21/2006,11/13/2023
PSEG Long Island - Commercial Energy Efficiency Rebate Program,NY,Financial Incentive,Rebate Program,8/21/2006,3/12/2025
EmPower New York,NY,Financial Incentive,Grant Program,10/6/2006,5/30/2024
City of Riverhead - Energy Conservation Device Permitting Fees,NY,Financial Incentive,Green Building Incentive,10/5/2007,7/22/2022
Long Island Power Authority - Renewable Electricity Goal,NY,Regulatory Policy,Renewables Portfolio Standard,11/14/2007,11/26/2024
New York City - Green Building Requirements for Municipal Buildings,NY,Regulatory Policy,Energy Standards for Public Buildings,1/1/2007,3/12/2024
National Grid (Gas) - Commercial Energy Efficiency Rebate Programs (Upstate New York),NY,Financial Incentive,Rebate Program,7/23/2008,1/16/2025
National Grid (Gas) - Residential Energy Efficiency Rebate Programs (Upstate New York),NY,Financial Incentive,Rebate Program,7/23/2008,11/22/2024
National Grid (Electric) - Non-Residential Energy Efficiency Program (Upstate New York),NY,Financial Incentive,Rebate Program,7/23/2008,9/16/2024
New York City - Property Tax Abatement for Photovoltaic (PV) and Energy Storage Equipment,NY,Financial Incentive,Property Tax Incentive,8/11/2008,10/28/2024
Energy Efficiency Standards for State Facilities,NY,Regulatory Policy,Energy Standards for Public Buildings,9/2/2008,3/12/2024
PSEG Long Island - Net Metering,NY,Regulatory Policy,Net Metering,1/5/2009,2/28/2025
Refundable Clean Heating Fuel Tax Credit (Personal),NY,Financial Incentive,Personal Tax Credit,1/9/2009,4/1/2025
National Grid (Electric) - Residential Energy Efficiency Rebate Programs (Upstate New York),NY,Financial Incentive,Rebate Program,6/18/2009,11/7/2024
NYSEG - Smart Energy Residential Efficiency Rebate Programs,NY,Financial Incentive,Rebate Program,6/19/2009,3/21/2024
RG&E - Smart Energy Residential Efficiency Rebate Programs,NY,Financial Incentive,Rebate Program,6/19/2009,3/21/2024
Central Hudson Gas & Electric (Gas) - Residential Energy Efficiency Rebate Program,NY,Financial Incentive,Rebate Program,7/1/2009,1/15/2025
Central Hudson Gas & Electric (Electric) - Residential Energy Efficiency Rebate Program,NY,Financial Incentive,Rebate Program,7/1/2009,5/20/2024
National Fuel (Gas) - Residential Energy Efficiency Rebates,NY,Financial Incentive,Rebate Program,7/7/2009,9/4/2024
Guidance for Local Wind Energy Ordinances,NY,Regulatory Policy,Solar/Wind Permitting Standards,8/11/2009,10/9/2024
Town of Babylon - Long Island Green Homes Program,NY,Financial Incentive,PACE Financing,9/3/2009,6/3/2024
State of NY Commercial PACE Financing Program,NY,Financial Incentive,PACE Financing,9/15/2009,6/5/2024
ConEd - Residential Energy Efficiency Incentives Program,NY,Financial Incentive,Rebate Program,12/7/2009,11/26/2024
ConEd - Multifamily Energy Efficiency Incentives Program,NY,Financial Incentive,Rebate Program,12/10/2009,8/15/2024
New York City - Energy Conservation Requirements for Existing Buildings,NY,Regulatory Policy,Building Energy Code,12/21/2009,6/15/2020
National Fuel (Gas) - Commercial Energy Efficiency Program,NY,Financial Incentive,Rebate Program,1/14/2010,9/3/2024
Orange and Rockland Utilities (Gas) - Residential Efficiency Program,NY,Financial Incentive,Rebate Program,1/14/2010,3/26/2025
NYSEG (Electric) - Commercial and Industrial Efficiency Program,NY,Financial Incentive,Rebate Program,7/7/2010,7/15/2024
RG&E (Electric) - Commercial and Industrial Efficiency Program,NY,Financial Incentive,Rebate Program,7/7/2010,5/21/2024
RG&E (Electric) - Small Business Lighting Retrofit Program,NY,Financial Incentive,Rebate Program,8/24/2010,7/18/2024
NYSEG (Electric) - Small Business Lighting Retrofit Program,NY,Financial Incentive,Rebate Program,8/24/2010,5/13/2024
National Grid (Gas) - Commercial Energy Efficiency Rebate Programs (Metro New York),NY,Financial Incentive,Rebate Program,10/5/2010,3/11/2025
Refundable Clean Heating Fuel Tax Credit (Corporate),NY,Financial Incentive,Corporate Tax Credit,1/9/2009,4/1/2025
Central Hudson Gas & Electric (Gas) - Commercial Energy Efficiency Program,NY,Financial Incentive,Rebate Program,7/1/2009,11/4/2024
NYSERDA - Residential Financing Options,NY,Financial Incentive,Loan Program,1/20/2011,6/30/2025
RG&E (Gas) - Commercial and Industrial Efficiency Program,NY,Financial Incentive,Rebate Program,7/7/2010,5/15/2024
Orange and Rockland Utilities (Electric) - Commercial Efficiency Programs,NY,Financial Incentive,Rebate Program,2/17/2011,3/7/2025
ConEd (Electric) - Commercial and Industrial Energy Efficiency Program,NY,Financial Incentive,Rebate Program,12/25/2009,11/26/2024
ConEd (Gas) - Commercial and Industrial Energy Efficiency Program,NY,Financial Incentive,Rebate Program,12/25/2009,9/6/2024
New York City - Residential Solar Sales Tax Exemption,NY,Financial Incentive,Sales Tax Incentive,3/21/2011,12/18/2024
Residential Wood Heating Fuel Exemption,NY,Financial Incentive,Sales Tax Incentive,6/20/2011,12/9/2024
Suffolk County - LEED Program for County Construction,NY,Regulatory Policy,Energy Standards for Public Buildings,9/6/2011,3/13/2024
Orange and Rockland Utilities (Electric) - Energy Efficiency Program,NY,Financial Incentive,Rebate Program,1/14/2010,2/6/2025
Local Option - Real Property Tax Exemption for Green Buildings,NY,Financial Incentive,Property Tax Incentive,8/2/2012,10/28/2024
ConEd (Gas and Electric) - Small Business Direct Install Program,NY,Financial Incentive,Rebate Program,6/27/2013,9/6/2024
NY Green Bank,NY,Financial Incentive,Other Incentive,9/2/2014,10/11/2023
NY-Sun Loan Program,NY,Financial Incentive,Loan Program,9/3/2014,6/30/2025
NY Open C-PACE,NY,Financial Incentive,PACE Financing,9/14/2014,5/29/2024
Clean Energy Fund (CEF),NY,Regulatory Policy,Public Benefits Fund,2/29/2016,7/28/2021
Clean Energy Standard,NY,Regulatory Policy,Renewables Portfolio Standard,8/4/2016,11/26/2024
Energy Efficiency Resource Standard,NY,Regulatory Policy,Energy Efficiency Resource Standard,2/22/2017,6/30/2025
PSEG Long Island- Commercial Solar PV Feed-in Tariff,NY,Financial Incentive,Feed-in Tariff,2/24/2017,10/30/2023
PSEG Long Island- Fuel Cell Resource Feed-in Tariff,NY,Financial Incentive,Feed-in Tariff,2/24/2017,7/14/2022
Energy Conservation Improvements Property Tax Exemption,NY,Financial Incentive,Property Tax Incentive,3/27/2019,1/6/2025
NYSERDA Residential and Retail Energy Storage Incentive Program,NY,Financial Incentive,Rebate Program,6/15/2019,7/2/2025
Con Ed Demand Management for Industrial and Commercial Customers,NY,Financial Incentive,Rebate Program,7/1/2019,2/6/2025
Energy Storage Target,NY,Regulatory Policy,Energy Storage Target,2/26/2020,11/26/2024
VW Funding for Diesel Replacement and EVSE Projects,NY,Financial Incentive,Grant Program,6/10/2021,9/26/2023
NYSERDA - Drive Clean Rebate,NY,Financial Incentive,Rebate Program,6/10/2021,7/2/2025
NYSERDA - Charge Ready NY,NY,Financial Incentive,Rebate Program,6/11/2021,7/15/2025
Electric Vehicle Supply Equipment Rebate Program,NY,Financial Incentive,Rebate Program,6/11/2021,7/1/2025
